PatType,Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,2160.000000,0.492330,0.000000,6.350000,1.003356,0.021589,1.006723,2.037973,2.252256,4.851844,0.000000,0.000000,0.337500,2.883333,4.040167
ART,2,2160.000000,0.838727,0.000000,10.350000,1.565947,0.033694,2.452189,1.867052,1.913800,3.047896,0.000000,0.000000,1.000000,4.416667,5.923500
CAT,1,2160.000000,0.719082,0.000000,7.666667,1.124416,0.024194,1.264312,1.563684,1.947445,4.047071,0.000000,0.000000,1.050000,3.200833,4.844000
CAT,2,2160.000000,1.037647,0.000000,8.350000,1.498022,0.032232,2.244071,1.443673,1.611224,1.984996,0.000000,0.250000,1.650000,4.300000,5.966667
IVT,1,2160.000000,2.321443,0.000000,16.416667,3.329982,0.071650,11.088783,1.434445,1.428023,1.059173,0.000000,0.425000,3.950000,9.433333,12.014500
IVT,2,2160.000000,3.536836,0.000000,21.466667,4.991911,0.107409,24.919180,1.411406,1.355584,0.738548,0.000000,0.666667,6.254167,14.220833,18.345667
MYE,1,2160.000000,0.549097,0.000000,5.833333,1.013794,0.021813,1.027778,1.846292,2.055354,3.762445,0.000000,0.000000,0.750000,2.916667,4.080333
MYE,2,2160.000000,0.847215,0.000000,8.333333,1.455993,0.031328,2.119916,1.718565,1.918437,3.270166,0.000000,0.000000,1.120833,4.150833,5.710667
OTH,1,2160.000000,0.343125,0.000000,6.266667,0.778865,0.016759,0.606631,2.269916,2.947428,10.418587,0.000000,0.000000,0.066667,2.000833,3.400000
OTH,2,2160.000000,0.534931,0.000000,6.100000,1.113838,0.023966,1.240635,2.082211,2.444704,5.832510,0.000000,0.000000,0.500000,3.068333,5.063667
